Year,Code,GDP_growth,FDI_growth,ODA_growth,EXP_growth,GOV_growth,POP_growth,GDP_growth_LAG,FDI_growth_LAG,ODA_growth_LAG,EXP_growth_LAG,GOV_growth_LAG,POP_growth_LAG,WG,CSK_growth_LAG,CSK_growth,GDPm,FDIm,ODAm,Exm,GOVm,POPm,Cstockdm,,
1986,1,-24.92216566,9.24824229,17.7256682,-32.8029456,-25.63667247,2.87604,34.68834792,7.57505236,10.2279044,96.7320399,80.8333275,2.91343,3.717,9.375070129,2.757077555,33.92268843,43.56019911,-8.06606098,50.71099953,30.95260694,-0.243024636,6.52838639,,
1987,1,-38.80867975,10.14851485,22.7029342,3.1628834,-41.29169301,2.996665,-24.92216566,9.24824229,17.7256682,-32.8029456,-25.63667247,2.87604,3.394,2.757077555,6.560817018,47.80920252,42.65992655,-13.04332705,14.74517052,46.60762748,-0.363649955,2.724646927,,
1988,1,-44.91160802,-62.54681648,32.3442136,23.2312734,-27.90385693,3.065898,-38.80867975,10.14851485,22.7029342,3.1628834,-41.29169301,2.996665,3.704,6.560817018,9.475995493,53.91213079,115.3552579,-22.68460645,-5.3232194,33.2197914,-0.432882479,-0.190531548,,
1989,1,19.21418925,100,88.5914007,6.1111566,14.28206968,3.082596,-44.91160802,-62.54681648,32.3442136,23.2312734,-27.90385693,3.065898,4.617,9.475995493,15.39477472,-10.21366648,-47.19155859,-78.93179349,11.79689738,8.815658196,-0.449581033,-6.109310778,,
1990,1,21.21892159,50,4.2520456,13.2056086,14.32407041,3.061988,19.21418925,100,88.5914007,6.1111566,14.28206968,3.082596,3.676,15.39477472,12.68668586,-12.21839882,2.808441406,5.407561602,4.70244541,8.815658196,-0.428973139,-3.401221911,,
1991,1,18.77722436,15,-6.2520963,35.8142664,14.02657935,2.522168,21.21892159,50,4.2520456,13.2056086,14.32407041,3.061988,2.912,12.68668586,11.15345909,-9.776701589,37.80844141,15.91170353,-17.90621248,25.68226844,0.110847251,-1.867995149,,
1992,1,9.699459092,13.04347826,17.0948122,44.183696,14.44249155,2.554578,18.77722436,15,-6.2520963,35.8142664,14.02657935,2.522168,1.419,11.15345909,9.948006603,-0.698936323,39.76496314,-7.435204965,-26.27564205,24.62820074,0.078437607,-0.662542658,,
1993,1,17.72836309,283.3333333,22.8489367,48.4011277,14.30213016,2.556954,9.699459092,13.04347826,17.0948122,44.183696,14.44249155,2.554578,1.767,9.948006603,9.511312584,-8.727840316,-230.5248919,-13.18932949,-30.49307373,20.23231539,0.076061353,-0.225848639,,
1994,1,16.25742114,97.99331104,7.0486992,35.3540595,14.31507694,2.555357,17.72836309,283.3333333,22.8489367,48.4011277,14.30213016,2.556954,1.534,9.511312584,9.966898443,-7.25689837,-45.18486963,2.610908001,-17.4460055,17.63482019,0.077658612,-0.681434498,,
1995,1,14.24780095,60.64189189,43.080855,6.1705953,14.53407405,2.565427,16.25742114,97.99331104,7.0486992,35.3540595,14.31507694,2.555357,3.012,9.966898443,9.418394745,-5.247278176,-7.833450486,-33.42124782,11.73745866,19.39865259,0.067588214,-0.1329308,,
1996,1,6.245136294,68.03364879,7.8594394,3.8583702,12.53912406,2.110523,14.24780095,60.64189189,43.080855,6.1705953,14.53407405,2.565427,3.029,9.418394745,10.39542911,2.755386475,-15.22520739,1.800167753,14.04968378,21.51525147,0.522492416,-1.109965169,,
1997,1,-6.759973112,-43.05381727,-1.0026798,-1.8575156,16.52205255,2.23386,6.245136294,68.03364879,7.8594394,3.8583702,12.53912406,2.110523,3.382,10.39542911,9.047964132,15.76049588,95.86225868,10.66228703,19.76556952,20.68184808,0.399154938,0.237499813,,
1998,1,-26.72185748,-49.56043956,-16.120202,11.8112132,13.60032319,2.328835,-6.759973112,-43.05381727,-1.0026798,-1.8575156,16.52205255,2.23386,3.704,9.047964132,7.324218767,35.72238025,102.368881,25.77980916,6.09684077,19.89257755,0.30418015,1.961245178,,
1999,1,13.61160915,71.89542484,6.8279063,11.8039914,14.37981085,2.387132,-26.72185748,-49.56043956,-16.120202,11.8112132,13.60032319,2.328835,2.556,7.324218767,9.762155626,-4.611086376,-19.08698343,2.831700898,6.10406253,19.82462998,0.245883569,-0.476691681,,
2000,1,19.02925941,-57.0468948,-4.6570042,1.7307309,15.62905962,2.44123,13.61160915,71.89542484,6.8279063,11.8039914,14.37981085,2.387132,3.272,9.762155626,5.373435604,-10.02873665,109.8553362,14.31661137,16.17732303,20.26259193,0.191785336,3.912028341,,
2001,1,2.161568775,-29.46508075,-12.8342056,-7.1304774,2.5643741,2.579916,19.02925941,-57.0468948,-4.6570042,1.7307309,15.62905962,2.44123,4.395,5.373435604,5.575662633,6.838953994,82.27352216,22.49381276,25.03853133,2.751560366,0.05309879,3.709801312,,
2002,1,-0.590427046,-81.37866415,13.576213,2.5457939,36.43669497,2.535147,2.161568775,-29.46508075,-12.8342056,-7.1304774,2.5643741,2.579916,1.945,5.575662633,8.302845528,9.590949816,134.1871056,-3.916605837,15.3622601,-31.1207605,0.097868655,0.982618417,,
2003,1,15.08083694,337.7151348,8.3357307,-5.9404178,-1.008323566,2.58624,-0.590427046,-81.37866415,13.576213,2.5457939,36.43669497,2.535147,2.192,8.302845528,7.316325033,-6.080314174,-284.9066934,1.323876475,23.84847175,6.324258033,0.046775611,1.969138912,,
2004,1,16.95594198,-13.17356649,-10.3664609,23.9815769,18.27724911,2.735929,15.08083694,337.7151348,8.3357307,-5.9404178,-1.008323566,2.58624,2.909,7.316325033,9.223757146,-7.955419211,65.98200789,20.02606806,-6.07352294,-12.96131464,-0.102913733,0.061706799,,
2005,1,15.60010563,63.85629283,10.1433174,34.4008685,21.87530348,2.902122,16.95594198,-13.17356649,-10.3664609,23.9815769,18.27724911,2.735929,4.383,9.223757146,9.458791411,-6.599582863,-11.04785142,-0.483710209,-16.49281454,-16.55936902,-0.269106393,-0.173327466,,
2006,1,26.22220393,575.7238131,22.7792348,66.2775141,17.05313046,3.08625,15.60010563,63.85629283,10.1433174,34.4008685,21.87530348,2.902122,3.869,9.458791411,11.6384086,-17.22168116,-522.9153717,-13.11962755,-48.36946018,-11.737196,-0.453234958,-2.352944653,,
2007,1,22.30253912,72.71843088,9.8529452,7.7475426,27.85390028,3.127585,26.22220393,575.7238131,22.7792348,66.2775141,17.05313046,3.08625,4.333,11.6384086,15.26989575,-13.30201635,-19.90998947,-0.193338004,10.16051136,-22.53796581,-0.494569512,-5.984431807,,
