Time,country,Export,FDI,GovernmentExpenditure,HouseExpenditure,Import,ODA,Population,WGDP,capitalStock,TFP,GDP_growth_LAG,EXP_growth_LAG,FDI_growth_LAG,GOV_growth_LAG,HouseExpenditure_LAG,Import_LAG,ODA_growth_LAG,POP_growth_LAG,WGDP_LAG,CSK_growth_LAG,TFP_growth_LAG,GDP_growth,EXP_growth,FDI_growth,GOV_growth,HouseExpenditure_GROWTH,Import_GROWTH,ODA_growth,POP_growth,WGDP_GROWTH,CSK_growth,TFP_growth,GDP_LAG_MEAN,Export_LAG_MEAN,FDI_LAG_MEAN,GovernmentExpenditure_LAG_MEAN,HouseExpenditure_LAG_MEAN,Import_LAG_MEAN,ODA_LAG_MEAN,Population_LAG_MEAN,WGDP_LAG_MEAN,capitalStock_LAG_MEAN,TFP_LAG_MEAN
1985,Cotedivoire,3263789748,29158869,982943139,4087806013,2260591210,117360000,5160869,1.51E+13,117260.4063,1.110177517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986,Cotedivoire,3617154651,70746700,1385480295,5814971714,2764108287,174420000,5354663,1.72E+13,117905.1797,1.125168204,3.259348767,10.82682802,142.6249797,40.95223213,42.25165518,22.27368994,48.6196319,3.755065281,13.90728477,0.549864545,1.350296396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.476475319,5.902637809,177.3543828,34.15437704,35.5361864,16.09424801,8.586683047,0.716889018,8.202669814,-1.190187967,1.022442577
1987,Cotedivoire,3372301472,87510151,1643726632,6817093288,2987988909,240480000,5554522,1.92E+13,118113.8203,1.093811631,-0.348972909,-6.769220634,23.69502888,18.63948105,17.23347289,8.099560464,37.87409701,3.7324291,11.62790698,0.176956263,-2.786834261,3.259348767,10.82682802,142.6249797,40.95223213,42.25165518,22.27368994,48.6196319,3.755065281,13.90728477,0.549864545,1.350296396,-3.131846357,-11.69341084,58.42443202,11.84162596,10.51800411,1.920118531,-2.158851843,0.694252837,5.923292024,-1.563096249,-3.11468808
1988,Cotedivoire,3126609547,51704187,1753913591,6937513682,2860181709,424730000,5763803,2.01E+13,117990.6797,1.079407096,1.136483964,-7.285586032,-40.91635495,6.703484439,1.766447794,-4.277365275,76.61759814,3.767758954,4.6875,-0.104255878,-1.316911851,-0.348972909,-6.769220634,23.69502888,18.63948105,17.23347289,8.099560464,37.87409701,3.7324291,11.62790698,0.176956263,-2.786834261,-1.646389484,-12.20977624,-6.186951807,-0.094370656,-4.949020989,-10.45680721,36.58464929,0.729582691,-1.017114956,-1.84430839,-1.64476567
1989,Cotedivoire,3125624092,18494817,1781144891,6816882283,2835035989,394560000,5987537,2.26E+13,117709.4922,1.172571182,2.948004945,-0.031518326,-64.2295565,1.552602143,-1.738827547,-0.879165122,-7.103336237,3.881707963,12.43781095,-0.238313315,8.631042574,1.136483964,-7.285586032,-40.91635495,6.703484439,1.766447794,-4.277365275,76.61759814,3.767758954,4.6875,-0.104255878,-1.316911851,0.165131497,-4.955708537,-29.50015336,-5.245252952,-8.45429633,-7.058607055,-47.13628509,0.8435317,6.733195994,-1.978365827,8.303188755
1990,Cotedivoire,3421191368,48114926,1813675500,7765800134,2926929958,686400000,6228139,2.39E+13,116586.3672,1.139384627,-1.095908411,9.456264327,160.1535663,1.826387576,13.92011497,3.241368694,73.96593674,4.018380179,5.752212389,-0.954149898,-2.830237986,2.948004945,-0.031518326,-64.2295565,1.552602143,-1.738827547,-0.879165122,-7.103336237,3.881707963,12.43781095,-0.238313315,8.631042574,-3.878781859,4.532074116,194.8829694,-4.971467519,7.204646187,-2.938073239,33.93298789,0.980203916,0.047597433,-2.69420241,-3.158091805
1991,Cotedivoire,3149019076,16305875,1716725104,7686387491,2831550804,629900000,6465843,2.54E+13,115682.3359,1.110661626,0.040925169,-7.955482834,-66.11056827,-5.345520519,-1.022594474,-3.258675656,-8.231351981,3.816613598,6.276150628,-0.775417677,-2.520922287,-1.095908411,9.456264327,160.1535663,1.826387576,13.92011497,3.241368694,73.96593674,4.018380179,5.752212389,-0.954149898,-2.830237986,-2.741948279,-12.87967304,-31.38116513,-12.14337561,-7.738063257,-9.438117589,-48.26430083,0.778437335,0.571535672,-2.515470189,-2.848776106
1992,Cotedivoire,3558855924,-230834502,1945281270,8183857389,3135722395,755700000,6722060,2.58E+13,114829.2656,1.076501131,-0.244560612,13.01474644,-1515.652346,13.31349821,6.472089764,10.74222615,19.97142404,3.962623281,1.57480315,-0.737424857,-3.075688779,0.040925169,-7.955482834,-66.11056827,-5.345520519,-1.022594474,-3.258675656,-8.231351981,3.816613598,6.276150628,-0.775417677,-2.520922287,-3.02743406,8.090556229,-1480.922943,6.515643115,-0.243379019,4.562784217,-20.06152481,0.924447018,-4.129811806,-2.477477369,-3.403542598
1993,Cotedivoire,3252142526,87900033,1709265299,7864155213,2861522067,763630000,6992941,2.78E+13,114083.9688,1.036842823,-0.1924851,-8.618314552,-138.0792439,-12.13274269,-3.906497399,-8.744406981,1.049358211,4.029731957,7.751937984,-0.649047781,-3.684000588,-0.244560612,13.01474644,-1515.652346,13.31349821,6.472089764,10.74222615,19.97142404,3.962623281,1.57480315,-0.737424857,-3.075688779,-2.975358548,-13.54250476,-103.3498408,-18.93059778,-10.62196618,-14.92384891,-38.98359064,0.991555694,2.047323028,-2.389100293,-4.011854407
1994,Cotedivoire,3369268837,77989254,999631315,5241034809,2436641848,1593700000,7272687,3.09E+13,114022.0859,1.039275527,0.811206685,3.601512236,-11.2750572,-41.51690112,-33.3553997,-14.84804971,108.7005487,4.000405552,11.15107914,-0.054243292,0.234626112,-0.1924851,-8.618314552,-138.0792439,-12.13274269,-3.906497399,-8.744406981,1.049358211,4.029731957,7.751937984,-0.649047781,-3.684000588,-1.971666763,-1.322677975,23.45434594,-48.31475621,-40.07086848,-21.02749164,68.66759985,0.962229289,5.446464184,-1.794295804,-0.093227707
1995,Cotedivoire,4593584282,211482186,1166922146,7312574304,3788785443,1212440000,7556800,3.15E+13,115201.4297,1.072685003,7.125744724,36.33771908,171.1683663,16.73525314,39.52539089,55.49209442,-23.9229466,3.906575383,1.941747573,1.034311722,3.214688996,0.811206685,3.601512236,-11.2750572,-41.51690112,-33.3553997,-14.84804971,108.7005487,4.000405552,11.15107914,-0.054243292,0.234626112,4.342871276,31.41352887,205.8977694,9.937398045,32.80992211,49.31265249,-63.95589545,0.86839912,-3.762867383,-0.70574079,2.886835177
1996,Cotedivoire,4989346356,269180619,1269758495,8345148926,3935331284,964770000,7803228,3.14E+13,117605.8281,1.105498314,7.729327422,8.615539624,27.28288093,8.812614394,14.12053511,3.867884397,-20.42740259,3.261009951,-0.317460317,2.087125486,3.058988511,7.125744724,36.33771908,171.1683663,16.73525314,39.52539089,55.49209442,-23.9229466,3.906575383,1.941747573,1.034311722,3.214688996,4.946453974,3.691349413,62.01228407,2.014759299,7.405066327,-2.311557536,-60.46035144,0.222833688,-6.022075273,0.347072974,2.731134692
1997,Cotedivoire,5030669759,415303614,1763597680,7417550072,4136989193,4.47E+08,8055272,3.14E+13,120022.9844,1.132752538,3.743553144,0.828232799,54.28436696,38.89237103,-11.11542601,5.124293089,-53.66771355,3.229996612,0,2.055303159,2.465333837,7.729327422,8.615539624,27.28288093,8.812614394,14.12053511,3.867884397,-20.42740259,3.261009951,-0.317460317,2.087125486,3.058988511,0.960679696,-4.095957412,89.0137701,32.09451594,-17.83089479,-1.055148844,-93.7006624,0.191820349,-5.704614956,0.315250647,2.137480018
1998,Cotedivoire,5220928218,380014112,1730151514,8214823652,4410458617,967270000,8309387,3.25E+13,122590.1719,1.124332309,4.930679628,3.781970754,-8.497277849,-1.89647369,10.74847587,6.610349006,116.3914989,3.154642078,3.503184713,2.138913236,-0.74334232,3.743553144,0.828232799,54.28436696,38.89237103,-11.11542601,5.124293089,-53.66771355,3.229996612,0,2.055303159,2.465333837,2.14780618,-1.142219457,26.23212529,-8.694328785,4.033007087,0.430907073,76.35855005,0.116465815,-2.201430243,0.398860724,-1.071196139
1999,Cotedivoire,5247990455,323675948,1713476599,8306997688,4225089821,447780000,8561776,3.36E+13,125403.9063,1.109972239,1.617527443,0.518341488,-14.82528207,-0.963783511,1.122045219,-4.202936975,-53.70682436,3.03739614,3.384615385,2.295236524,-1.277208694,4.930679628,3.781970754,-8.497277849,-1.89647369,10.74847587,6.610349006,116.3914989,3.154642078,3.503184713,2.138913236,-0.74334232,-1.165346005,-4.405848723,19.90412107,-7.761638606,-5.593423564,-10.38237891,-93.73977321,-0.000780123,-2.319999571,0.555184012,-1.605062513
2000,Cotedivoire,4370512052,234701641,1538002037,7347147651,3628438194,350920000,8810022,3.34E+13,125492.3828,1.068052888,-2.068400057,-16.72027437,-27.48869897,-10.24084963,-11.55471655,-14.12163178,-21.63115816,2.899468521,-0.595238095,0.070553225,-3.776612561,1.617527443,0.518341488,-14.82528207,-0.963783511,1.122045219,-4.202936975,-53.70682436,3.03739614,3.384615385,2.295236524,-1.277208694,-4.851273505,-21.64446458,7.240704173,-17.03870472,-18.27018533,-20.30107371,-61.66410701,-0.138707742,-6.299853051,-1.669499287,-4.10446638
2001,Cotedivoire,4555378698,272680082,1523859919,7632638594,3676789110,186080000,8988061,3.47E+13,124880.6563,1.071308374,0.121371915,4.229862401,16.18158307,-0.919512306,3.885738474,1.332554488,-46.97366921,2.02086896,3.892215569,-0.48746106,0.304805692,-2.068400057,-16.72027437,-27.48869897,-10.24084963,-11.55471655,-14.12163178,-21.63115816,2.899468521,-0.595238095,0.070553225,-3.776612561,-2.661501533,-0.69432781,50.91098621,-7.717367401,-2.829730309,-4.846887445,-87.00661806,-1.017307303,-1.812399387,-2.227513572,-0.023048127
2002,Cotedivoire,5860137917,212629137,1602268151,8155539750,4000564121,1067500000,9162695,3.89E+13,125539.3125,1.047882199,-1.667642138,28.64216798,-22.02249044,5.145370058,6.850857008,8.805917373,473.677988,1.942955216,12.1037464,0.527428522,-2.186688312,0.121371915,4.229862401,16.18158307,-0.919512306,3.885738474,1.332554488,-46.97366921,2.02086896,3.892215569,-0.48746106,0.304805692,-4.450515586,23.71797777,12.7069127,-1.652485037,0.135388225,2.62647544,433.6450391,-1.095221047,6.399131444,-1.21262399,-2.514542131
2003,Cotedivoire,6412152422,165347467,2265905521,10085321463,5108742940,253700000,9339228,4.38E+13,125228.3516,1.032816768,-1.359535943,9.419821049,-22.23668434,41.41862082,23.66221945,27.70056386,-76.23419204,1.92664931,12.59640103,-0.247700018,-1.437702732,-1.667642138,28.64216798,-22.02249044,5.145370058,6.850857008,8.805917373,473.677988,1.942955216,12.1037464,0.527428522,-2.186688312,-4.142409391,4.495630838,12.4927188,34.62076573,16.94675067,21.52112193,-116.2671409,-1.111526953,6.891786074,-1.98775253,-1.765556551
2004,Cotedivoire,7682091040,282979933,2465789243,11193799057,6324073570,160710000,9525051,4.75E+13,125627.2734,1.037914276,1.23177284,19.80518451,71.14258726,8.821361709,10.99099913,23.78923043,-36.65352779,1.989704074,8.447488584,0.318555499,0.493553954,-1.359535943,9.419821049,-22.23668434,41.41862082,23.66221945,27.70056386,-76.23419204,1.92664931,12.59640103,-0.247700018,-1.437702732,-1.551100608,14.8809943,105.8719904,2.023506614,4.275530347,17.6097885,-76.68647664,-1.048472189,2.742873628,-1.421497013,0.165700135
2005,Cotedivoire,8525098740,348920762,2464918531,11623646059,7521515856,91280000,9726543,5.14E+13,125825.5859,1.048851728,1.721247367,10.97367495,23.30229861,-0.035311696,3.840045724,18.93466723,-43.20204094,2.115390248,8.210526316,0.15785784,1.05379146,1.23177284,19.80518451,71.14258726,8.821361709,10.99099913,23.78923043,-36.65352779,1.989704074,8.447488584,0.318555499,0.493553954,-1.061626081,6.049484739,58.03170175,-6.833166791,-2.875423059,12.7552253,-83.23498979,-0.922786015,2.50591136,-1.582194672,0.725937641
2006,Cotedivoire,9321895577,350652856,2419428053,12250828391,7601360070,247140000,9938653,5.80E+13,126754.1016,1.05094862,1.515842364,9.346482209,0.496414713,-1.845516492,5.395745266,1.061544182,170.7493427,2.180733689,12.84046693,0.737938706,0.199922634,1.721247367,10.97367495,23.30229861,-0.035311696,3.840045724,18.93466723,-43.20204094,2.115390248,8.210526316,0.15785784,1.05379146,-1.267031084,4.422291998,35.22581786,-8.643371587,-1.319723517,-5.117897751,130.7163938,-0.857442574,7.135851974,-1.002113806,-0.127931185
2007,Cotedivoire,9607482027,443215533,2713551298,14528843335,8587384208,171080000,10171610,6.36E+13,129125.1953,1.044927835,1.765036784,3.063609195,26.3972403,12.15672624,18.59478291,12.97168045,-30.77607834,2.343949427,9.655172414,1.870624832,-0.572890519,1.515842364,9.346482209,0.496414713,-1.845516492,5.395745266,1.061544182,170.7493427,2.180733689,12.84046693,0.737938706,0.199922634,-1.017836664,-1.860581016,61.12664344,5.358871145,11.87931413,6.792238517,-70.80902719,-0.694226836,3.950557458,0.13057232,-0.900744338
2008,Cotedivoire,11413827633,466489597,3069238208,16546516389,9728423117,584630000,10425362,6.03E+13,131727.6719,1.054494739,2.542841476,18.80144663,5.251184191,13.10780121,13.8873619,13.28738626,241.7290157,2.494708311,-5.188679245,2.015467697,0.915556432,1.765036784,3.063609195,26.3972403,12.15672624,18.59478291,12.97168045,-30.77607834,2.343949427,9.655172414,1.870624832,-0.572890519,-0.240031972,13.87725642,39.98058733,6.309946115,7.171893117,7.107944327,201.6960668,-0.543467952,-10.8932942,0.275415185,0.587702613
2009,Cotedivoire,12346184364,396030774,3067545645,16445123783,9692737993,2403010000,10698395,6.60E+13,134451.6719,1.071283579,3.251453719,8.168659638,-15.10405022,-0.055146029,-0.612773128,-0.366813034,311.0309084,2.618930642,9.452736318,2.067902636,1.592121741,2.542841476,18.80144663,5.251184191,13.10780121,13.8873619,13.28738626,241.7290157,2.494708311,-5.188679245,2.015467697,0.915556432,0.468580271,3.244469427,19.62535292,-6.853001124,-7.328241911,-6.546254967,270.9979595,-0.419245621,3.748121362,0.327850124,1.264267922
2010,Cotedivoire,12599682053,358118909,3030332389,16692407764,10781657067,845310000,10989337,7.34E+13,138848.8125,1.055426121,2.017638592,2.053247234,-9.572959348,-1.213128028,1.503691819,11.23438057,-64.82286799,2.719492036,11.21212121,3.270424635,-1.480229727,3.251453719,8.168659638,-15.10405022,-0.055146029,-0.612773128,-0.366813034,311.0309084,2.618930642,9.452736318,2.067902636,1.592121741,-0.765234856,-2.870942977,25.15644379,-8.010983123,-5.211776964,5.054938637,-104.8558168,-0.318684227,5.507506254,1.530372123,-1.808083546
2011,Cotedivoire,13660374855,301577299,2854451633,17586395276,9476194341,1437710000,11295798,7.50E+13,139432.875,1,-4.387254788,8.41840927,-15.78850169,-5.804008717,5.355653448,-12.10818261,70.08079876,2.788712367,2.179836512,0.420646378,-5.251539629,2.017638592,2.053247234,-9.572959348,-1.213128028,1.503691819,11.23438057,-64.82286799,2.719492036,11.21212121,3.270424635,-1.480229727,-7.170128236,3.494219059,18.94090145,-12.60186381,-1.359815335,-18.28762454,30.04784991,-0.249463896,-3.524778444,-1.319406134,-5.579393448
2012,Cotedivoire,13108323788,330274412,3300958718,18058358414,11987609609,2908350000,11619224,7.72E+13,143194.9375,1.06925571,10.7065041,-4.041258552,9.515674122,15.64248207,2.683683214,26.50236137,102.290448,2.863241712,2.933333333,2.698117284,6.925571,-4.387254788,8.41840927,-15.78850169,-5.804008717,5.355653448,-12.10818261,70.08079876,2.788712367,2.179836512,0.420646378,-5.251539629,7.923630652,-8.965448763,44.24507726,8.844626975,-4.031785569,20.32291944,62.25749915,-0.174934551,-2.771281623,0.958064772,6.597717181
2013,Cotedivoire,12984344413,407476278,3833820857,20037633086,12066655631,1273460000,11959618,7.93E+13,151266.1719,1.113502502,8.889421302,-0.945806474,23.37506728,16.14264777,10.9604352,0.6593977,-56.21366067,2.92957602,2.720207254,5.636536138,4.138092655,10.7065041,-4.041258552,9.515674122,15.64248207,2.683683214,26.50236137,102.290448,2.863241712,2.933333333,2.698117284,6.925571,6.106547854,-5.869996685,58.10447042,9.344792675,4.244966417,-5.520044233,-96.24660952,-0.108600243,-2.984407702,3.896483626,3.810238836
2014,Cotedivoire,13870430011,438772571,4355052345,22258171878,12138490078,925040000,12317084,7.50E+13,161632.4375,1.148714304,8.79407739,6.824261355,7.680519012,13.59561407,11.08184176,0.595313641,-27.36010554,2.98894162,-5.422446406,6.852996589,3.162256208,8.889421302,-0.945806474,23.37506728,16.14264777,10.9604352,0.6593977,-56.21366067,2.92957602,2.720207254,5.636536138,4.138092655,6.011203942,1.900071144,42.40992215,6.797758975,4.366372977,-5.584128292,-67.39305439,-0.049234643,-11.12706136,5.112944077,2.834402389
2015,Cotedivoire,12496387107,494209964,3956099329,21364386714,11346378541,653060000,12690447,7.61E+13,174223.6563,1.17664516,8.84285995,-9.906274736,12.63465327,-9.160693934,-4.015537165,-6.525618359,-29.40197181,3.031261295,1.466666667,7.790032121,2.431488483,8.79407739,6.824261355,7.680519012,13.59561407,11.08184176,0.595313641,-27.36010554,2.98894162,-5.422446406,6.852996589,3.162256208,6.059986502,-14.83046495,47.36405641,-15.95854903,-10.73100595,-12.70506029,-69.43492066,-0.006914968,-4.237948289,6.049979609,2.103634664
2016,Cotedivoire,11788864553,577479244,4494589001,23482177303,10712386973,616260000,13054491,8.09E+13,187004.625,1.20099473,7.971751186,-5.661816875,16.84896827,13.61163174,9.912714169,-5.587611639,-5.635010566,2.868645998,6.307490145,7.335954813,2.069406379,8.84285995,-9.906274736,12.63465327,-9.160693934,-4.015537165,-6.525618359,-29.40197181,3.031261295,1.466666667,7.790032121,2.431488483,5.188877738,-10.58600709,51.57837141,6.813776645,3.197245386,-11.76705357,-45.66795942,-0.169530265,0.602875189,5.595902301,1.74155256
2017,Cotedivoire,12824122431,972606666,5465005446,24996959931,11819633781,827450000,13438825,8.58E+13,201630.1563,1.215293646,7.702089422,8.78165894,68.42279201,21.59077159,6.450775873,10.33613527,34.26962646,2.944074955,6.056860321,7.8209463,1.190589404,7.971751186,-5.661816875,16.84896827,13.61163174,9.912714169,-5.587611639,-5.635010566,2.868645998,6.307490145,7.335954813,2.069406379,4.919215974,3.857468729,103.1521952,14.7929165,-0.26469291,4.156693337,-5.763322393,-0.094101308,0.352245365,6.080893788,0.862735585
1985,Cameroon,2725480658,316229050,732919835,5242085438,2572868200,152480000,5099774,1.51E+13,75374.48438,1.708062053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.702089422,8.78165894,68.42279201,21.59077159,6.450775873,10.33613527,34.26962646,2.944074955,6.056860321,7.8209463,1.190589404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986,Cameroon,2472751280,-90700158,1204078535,6654325043,2413598418,216490000,5239955,1.72E+13,79578.38281,1.561607361,6.77166308,-9.272836968,-128.6817919,64.28516156,26.94041564,-6.190359149,41.97927597,2.748768867,13.90728477,5.577349503,-8.574319167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.433426975,-13.0166678,-63.0550358,57.04970632,21.21493016,-10.85495965,24.92893249,-0.307656617,8.202669814,2.320040872,-7.148441598
1987,Cameroon,2053806128,115925995,1495343587,8224452480,2537512535,203120000,5392864,1.92E+13,83018.5625,1.419546485,-2.146650212,-16.94247033,-227.8123407,24.18987163,23.59559274,5.133998932,-6.175804887,2.918135747,11.62790698,4.323007792,-9.097093133,6.77166308,-9.272836968,-128.6817919,64.28516156,26.94041564,-6.190359149,41.97927597,2.748768867,13.90728477,5.577349503,-8.574319167,-4.484886317,-20.68630116,-162.1855846,16.95441639,17.87010726,0.469398431,-23.22614837,-0.138289737,5.923292024,1.065699161,-7.671215564
1988,Cameroon,2003045527,92362479,1340304980,8533136735,1994132706,275630000,5556424,2.01E+13,86311.13281,1.311048746,-7.823631975,-2.471538102,-20.32634354,-10.36809255,3.753249906,-21.41387763,35.69810949,3.032896806,4.6875,3.966065192,-7.643126882,-2.146650212,-16.94247033,-227.8123407,24.18987163,23.59559274,5.133998932,-6.175804887,2.918135747,11.62790698,4.323007792,-9.097093133,-10.16186808,-6.215368935,45.30041256,-17.60354779,-1.972235573,-26.07847813,18.64776601,-0.023528678,-1.017114956,0.708756561,-6.217249313
