ID,NAME,TIME,P,CY,DONG,SIZE,F,LAT,LON,D_P,D_HS,D_R,D_U,D_HP,D_M,D_S,BRAND,N_H,N_D,HEAT,HIGHEST,LOWEST,PARK,YONG,GUN
1,SM드림빌,2012Q2,32700,2003,삼성동,52.79,2,37.5180503,127.0592093,566.2859603,314.461483,217.7566991,2487.29736,853.8621193,698.7748585,643.9792835,0,16,1,개별난방,5,3,0.75,241,59
2,SM드림빌,2007Q1,24100,2003,삼성동,51.75,3,37.5061669,127.0509424,950.3914012,491.2650162,878.5624973,2124.82126,1066.11649,456.1718036,255.7071727,0,16,1,개별난방,5,3,0.75,241,59
3,SM드림빌,2016Q3,50700,2003,삼성동,62.64,5,37.512286,127.0473052,745.3103825,917.0573773,801.6454139,1523.76133,786.263217,1052.240423,761.6707129,0,16,1,개별난방,5,3,0.75,241,59
4,SM드림빌,2006Q4,43000,2003,삼성동,84.13,4,37.5175999,127.0500484,465.9553603,554.7133867,888.1171675,1676.974525,171.4677618,1036.481035,246.4234973,0,16,1,개별난방,5,3,0.75,241,59
5,SM드림빌,2007Q2,43000,2003,삼성동,84.13,4,37.5148954,127.0604307,449.516275,417.3511672,569.6107045,2602.021414,1062.500584,364.0572111,710.991954,0,16,1,개별난방,5,3,0.75,241,59
6,SM드림빌,2010Q1,41000,2003,삼성동,84.13,4,37.5174418,127.0648795,917.4309523,773.5899168,540.9383935,2985.392723,1359.070549,805.8148106,967.9620588,0,16,1,개별난방,5,3,0.75,241,59
7,SM드림빌,2015Q1,42750,2003,삼성동,62.64,5,37.5061669,127.0509424,950.3914012,491.2650162,878.5624973,2124.82126,1066.11649,456.1718036,255.7071727,0,16,1,개별난방,5,3,0.75,241,59
8,SM드림빌,2017Q1,50000,2003,삼성동,52.79,3,37.5061669,127.0509424,950.3914012,491.2650162,878.5624973,2124.82126,1066.11649,456.1718036,255.7071727,0,16,1,개별난방,5,3,0.75,241,59
9,SM드림빌,2017Q1,48500,2003,삼성동,51.75,3,37.5139907,127.0498969,494.5020953,624.5556504,1088.810542,1694.016155,569.7076112,858.1056947,604.3451301,0,16,1,개별난방,5,3,0.75,241,59
10,SM드림빌,2017Q1,50000,2003,삼성동,52.79,3,37.5061669,127.0509424,950.3914012,491.2650162,878.5624973,2124.82126,1066.11649,456.1718036,255.7071727,0,16,1,개별난방,5,3,0.75,241,59
11,SM드림빌,2008Q4,40000,2003,삼성동,84.13,4,37.5084889,127.0540818,615.4542773,756.6629988,799.4937728,2238.61656,1198.82611,339.6782706,634.4789636,0,16,1,개별난방,5,3,0.75,241,59
12,SM드림빌,2006Q4,43000,2003,삼성동,84.13,4,37.5175999,127.0500484,465.9553603,554.7133867,888.1171675,1676.974525,171.4677618,1036.481035,246.4234973,0,16,1,개별난방,5,3,0.75,241,59
13,SM드림빌,2014Q1,38500,2003,삼성동,62.64,5,37.5175999,127.0500484,465.9553603,554.7133867,888.1171675,1676.974525,171.4677618,1036.481035,246.4234973,0,16,1,개별난방,5,3,0.75,241,59
14,SM드림빌,2008Q2,23000,2003,삼성동,51.75,2,37.5080189,127.0554164,655.0082975,627.7765203,683.8250622,2367.546151,1124.668605,244.537881,683.3218134,0,16,1,개별난방,5,3,0.75,241,59
15,SM드림빌,2006Q2,16000,2003,삼성동,52.79,1,37.5128565,127.0443326,992.590257,827.372359,605.5497083,1255.658985,838.1530919,1011.13312,552.560787,0,16,1,개별난방,5,3,0.75,241,59
