Date,volatility,treasury(3Y),treasury(1Y),AAA,AApl,AA,AAmi,Apl,A,Ami,AAAspread,AAplspread,AAspread,AAmispread,Aplspread,Aspread,Amispread,delta_v,delta_treasury(3Y)t,delta_treasury(3Y)t-1,delta_treasury(1Y)t,delta_treasury(1Y)t-1,deltaAAAt,deltaAAAt-1,deltaAAplt,deltaAAplt-1,deltaAAmit,deltaAAmit-1,deltaAplt,deltaAplt-1,deltaAt,deltaAt-1,deltaAmit,deltaAmit-1,deltaAAt,deltaAAt-1
2015-05-29,0.11091,1.745,1.691,1.73,1.75,1.78,1.83,1.89,1.93,1.97,-0.015,0.005,0.035,0.085,0.145,0.145,0.225,0.00027,-0.02,0.001,-0.026,-0.005,0.02,-0.001,0.02,-0.001,0.02,-0.001,0.02,-0.001,0.02,-0.001,0.02,-0.001,0.02,-0.001
2015-06-01,0.11063,1.746,1.686,1.73,1.75,1.78,1.83,1.89,1.93,1.97,-0.016,0.004,0.034,0.084,0.144,0.144,0.224,0.00028,0.031,-0.02,0,-0.026,-0.031,0.02,-0.031,0.02,-0.031,0.02,-0.031,0.02,-0.031,0.02,-0.031,0.02,-0.031,0.02
2015-06-02,0.1109,1.726,1.66,1.73,1.75,1.78,1.83,1.89,1.93,1.97,0.004,0.024,0.054,0.104,0.164,0.164,0.244,-9.00E-05,0.01,0.031,0.005,0,-0.01,-0.031,-0.01,-0.031,-0.01,-0.031,-0.01,-0.031,-0.01,-0.031,-0.01,-0.031,-0.01,-0.031
2015-06-03,0.11118,1.757,1.66,1.73,1.75,1.78,1.83,1.89,1.93,1.97,-0.027,-0.007,0.023,0.073,0.133,0.133,0.213,-0.00016,-0.026,0.01,-0.017,0.005,0.026,-0.01,0.026,-0.01,0.026,-0.01,0.026,-0.01,0.026,-0.01,0.026,-0.01,0.026,-0.01
2015-06-04,0.11109,1.767,1.665,1.73,1.75,1.78,1.83,1.89,1.93,1.97,-0.037,-0.017,0.013,0.063,0.123,0.123,0.203,-0.00019,-0.012,-0.026,-0.004,-0.017,0.012,0.026,0.012,0.026,0.012,0.026,0.012,0.026,0.012,0.026,0.012,0.026,0.012,0.026
2015-06-05,0.11093,1.741,1.648,1.73,1.75,1.78,1.83,1.89,1.93,1.97,-0.011,0.009,0.039,0.089,0.149,0.149,0.229,-2.00E-05,0.004,-0.012,-0.011,-0.004,-0.004,0.012,-0.004,0.012,-0.004,0.012,-0.004,0.012,-0.004,0.012,-0.004,0.012,-0.004,0.012
2015-06-08,0.11074,1.729,1.644,1.73,1.75,1.78,1.83,1.89,1.93,1.97,0.001,0.021,0.051,0.101,0.161,0.161,0.241,-0.00048,0.04,0.004,-0.004,-0.011,-0.04,-0.004,-0.04,-0.004,-0.04,-0.004,-0.04,-0.004,-0.04,-0.004,-0.04,-0.004,-0.04,-0.004
2015-06-09,0.11072,1.733,1.633,1.73,1.75,1.78,1.83,1.89,1.93,1.97,-0.003,0.017,0.047,0.097,0.157,0.157,0.237,1.00E-05,0.024,0.04,-0.005,-0.004,-0.174,-0.04,-0.174,-0.04,-0.174,-0.04,-0.174,-0.04,-0.174,-0.04,-0.174,-0.04,-0.174,-0.04
2015-06-10,0.11024,1.773,1.629,1.73,1.75,1.78,1.83,1.89,1.93,1.97,-0.043,-0.023,0.007,0.057,0.117,0.117,0.197,1.00E-05,-0.035,0.024,-0.012,-0.005,0.035,-0.174,0.035,-0.174,0.035,-0.174,0.035,-0.174,0.035,-0.174,0.035,-0.174,0.035,-0.174
2015-06-11,0.11025,1.797,1.624,1.58,1.6,1.63,1.68,1.74,1.78,1.82,-0.217,-0.197,-0.167,-0.117,-0.057,-0.057,0.023,-0.00066,0.002,-0.035,-0.007,-0.012,-0.002,0.035,-0.002,0.035,-0.002,0.035,-0.002,0.035,-0.002,0.035,-0.002,0.035,-0.002,0.035
2015-06-12,0.11026,1.762,1.612,1.58,1.6,1.63,1.68,1.74,1.78,1.82,-0.182,-0.162,-0.132,-0.082,-0.022,-0.022,0.058,0.00033,0.002,0.002,0.003,-0.007,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002
