,Last Refresh: 2020-06-03 21:36:21,
Calendar Basis,,
Portfolio, ,Default
Item, , 
Frequency,일간,KRW
Non-Trading Day,Previous,Asc
Include Weekend,ALL, 
Term,20190902,Current(20200603)
Symbol,I.101,I.101
Symbol Name,코스피 200,코스피 200
Kind,BTI,BTI
Item,I41B0D1005,I41B0D1009
Item Name,"베타 (D,1Yr)","변동성 (D,1Yr)"
Frequency,,
2019-09-02,1.03041,0.14923
2019-09-03,1.02997,0.14903
2019-09-04,1.03063,0.1496
2019-09-05,1.03034,0.14948
2019-09-06,1.03055,0.14954
2019-09-07,1.03055,0.14954
2019-09-08,1.03055,0.14954
2019-09-09,1.03075,0.14966
2019-09-10,1.03035,0.14972
2019-09-11,1.0297,0.14989
2019-09-12,1.0297,0.14989
2019-09-13,1.0297,0.14989
2019-09-14,1.0297,0.14989
2019-09-15,1.0297,0.14989
2019-09-16,1.02756,0.1496
2019-09-17,1.02743,0.14945
2019-09-18,1.02758,0.14952
2019-09-19,1.02804,0.14968
2019-09-20,1.02757,0.14955
2019-09-21,1.02757,0.14955
2019-09-22,1.02757,0.14955
2019-09-23,1.028,0.14942
2019-09-24,1.02801,0.14921
2019-09-25,1.02761,0.14944
2019-09-26,1.02766,0.14915
2019-09-27,1.02868,0.14956
2019-09-28,1.02868,0.14956
2019-09-29,1.02868,0.14956
2019-09-30,1.02879,0.14967
2019-10-01,1.02842,0.14971
2019-10-02,1.03017,0.15077
2019-10-03,1.03017,0.15077
2019-10-04,1.02948,0.14998
2019-10-05,1.02948,0.14998
2019-10-06,1.02948,0.14998
2019-10-07,1.02967,0.14998
2019-10-08,1.03075,0.15058
2019-10-09,1.03075,0.15058
2019-10-10,1.03327,0.15071
2019-10-11,1.03777,0.14399
2019-10-12,1.03777,0.14399
2019-10-13,1.03777,0.14399
2019-10-14,1.03761,0.14357
2019-10-15,1.03766,0.14336
2019-10-16,1.03757,0.14354
2019-10-17,1.03737,0.14311
2019-10-18,1.03801,0.14317
2019-10-19,1.03801,0.14317
2019-10-20,1.03801,0.14317
2019-10-21,1.03813,0.14315
2019-10-22,1.03878,0.14374
2019-10-23,1.04195,0.14159
2019-10-24,1.04177,0.14153
2019-10-25,1.0416,0.14044
2019-10-26,1.0416,0.14044
2019-10-27,1.0416,0.14044
2019-10-28,1.04478,0.13959
2019-10-29,1.05088,0.13924
2019-10-30,1.05191,0.13919
2019-10-31,1.05275,0.13907
2019-11-01,1.05297,0.13932
2019-11-02,1.05297,0.13932
2019-11-03,1.05297,0.13932
2019-11-04,1.05428,0.13534
2019-11-05,1.05462,0.13516
2019-11-06,1.05498,0.13506
2019-11-07,1.05544,0.13499
2019-11-08,1.05607,0.13493
2019-11-09,1.05607,0.13493
2019-11-10,1.05607,0.13493
2019-11-11,1.05681,0.13515
2019-11-12,1.05823,0.13551
2019-11-13,1.05717,0.1356
2019-11-14,1.05749,0.13588
2019-11-15,1.05801,0.13603
2019-11-16,1.05801,0.13603
2019-11-17,1.05801,0.13603
2019-11-18,1.05823,0.13603
2019-11-19,1.0586,0.13606
2019-11-20,1.05837,0.13644
2019-11-21,1.05778,0.1371
2019-11-22,1.05826,0.13714
2019-11-23,1.05826,0.13714
2019-11-24,1.05826,0.13714
2019-11-25,1.05795,0.13737
2019-11-26,1.05816,0.13677
2019-11-27,1.05818,0.13656
2019-11-28,1.05839,0.1366
2019-11-29,1.05904,0.13754
2019-11-30,1.05904,0.13754
2019-12-01,1.05904,0.13754
2019-12-02,1.05819,0.13716
2019-12-03,1.05835,0.13607
2019-12-04,1.05728,0.13586
2019-12-05,1.05698,0.13574
2019-12-06,1.05804,0.13528
2019-12-07,1.05804,0.13528
2019-12-08,1.05804,0.13528
2019-12-09,1.05831,0.13532
2019-12-10,1.05835,0.13492
2019-12-11,1.05817,0.13494
2019-12-12,1.06026,0.13528
2019-12-13,1.06252,0.13634
2019-12-14,1.06252,0.13634
2019-12-15,1.06252,0.13634
2019-12-16,1.06154,0.13553
2019-12-17,1.06331,0.13641
2019-12-18,1.06337,0.13633
2019-12-19,1.06371,0.13611
2019-12-20,1.06367,0.13578
2019-12-21,1.06367,0.13578
2019-12-22,1.06367,0.13578
2019-12-23,1.06371,0.1358
2019-12-24,1.06401,0.13596
2019-12-25,1.06401,0.13596
2019-12-26,1.06465,0.1353
2019-12-27,1.06474,0.13533
2019-12-28,1.06474,0.13533
2019-12-29,1.06474,0.13533
2019-12-30,1.06565,0.13535
2019-12-31,1.06565,0.13535
2020-01-01,1.06565,0.13535
2020-01-02,1.06808,0.13507
2020-01-03,1.06753,0.13469
2020-01-04,1.06753,0.13469
2020-01-05,1.06753,0.13469
2020-01-06,1.06628,0.13473
2020-01-07,1.06605,0.13434
2020-01-08,1.06135,0.13427
2020-01-09,1.05853,0.13344
2020-01-10,1.05807,0.13372
2020-01-11,1.05807,0.13372
2020-01-12,1.05807,0.13372
2020-01-13,1.05774,0.13398
2020-01-14,1.05677,0.13376
2020-01-15,1.05562,0.13268
2020-01-16,1.0565,0.13296
2020-01-17,1.0565,0.13295
2020-01-18,1.0565,0.13295
2020-01-19,1.0565,0.13295
2020-01-20,1.05782,0.13296
2020-01-21,1.05837,0.1335
2020-01-22,1.05799,0.13401
2020-01-23,1.05988,0.13458
2020-01-24,1.05988,0.13458
2020-01-25,1.05988,0.13458
2020-01-26,1.05988,0.13458
2020-01-27,1.05988,0.13458
2020-01-28,1.05556,0.13754
2020-01-29,1.05522,0.13752
2020-01-30,1.05552,0.13833
2020-01-31,1.05482,0.13897
2020-02-01,1.05482,0.13897
2020-02-02,1.05482,0.13897
2020-02-03,1.05483,0.13899
2020-02-04,1.055,0.14011
2020-02-05,1.05514,0.1399
2020-02-06,1.05358,0.14265
2020-02-07,1.05388,0.1429
2020-02-08,1.05388,0.1429
2020-02-09,1.05388,0.1429
2020-02-10,1.05285,0.14227
2020-02-11,1.05258,0.14262
2020-02-12,1.05245,0.1427
2020-02-13,1.05266,0.14266
2020-02-14,1.05238,0.14224
2020-02-15,1.05238,0.14224
2020-02-16,1.05238,0.14224
2020-02-17,1.05051,0.14124
2020-02-18,1.05171,0.14212
2020-02-19,1.05159,0.14209
2020-02-20,1.05076,0.14169
2020-02-21,1.04975,0.14244
2020-02-22,1.04975,0.14244
