treasury3now,treasury3before,treasury3thenbefore,delta_yt,delta_yt-1,volatility_t,volatility_t-1,delta_v
0.874,0.869,0.856,0.005,0.013,0.63,4.04,-3.41
0.869,0.856,0.886,0.013,-0.03,4.04,-7.34,11.38
0.856,0.886,0.926,-0.03,-0.04,-7.34,-5.25,-2.09
0.886,0.926,0.914,-0.04,0.012,-5.25,1.95,-7.2
0.926,0.914,0.946,0.012,-0.032,1.95,-8.11,10.06
0.914,0.946,0.96,-0.032,-0.014,-8.11,-1.57,-6.54
0.946,0.96,0.975,-0.014,-0.015,-1.57,-12.51,10.94
0.96,0.975,1.006,-0.015,-0.031,-12.51,19.17,-31.68
0.975,1.006,1.033,-0.031,-0.027,19.17,-6.53,25.7
1.006,1.033,1.026,-0.027,0.007,-6.53,-7.14,0.61
1.033,1.026,1.018,0.007,0.008,-7.14,-6.37,-0.77
1.026,1.018,1.036,0.008,-0.018,-6.37,8.94,-15.31
1.018,1.036,1.046,-0.018,-0.01,8.94,-5.72,14.66
1.036,1.046,1.035,-0.01,0.011,-5.72,0.05,-5.77
1.046,1.035,1.013,0.011,0.022,0.05,9.73,-9.68
1.035,1.013,1.006,0.022,0.007,9.73,5.88,3.85
1.013,1.006,0.982,0.007,0.024,5.88,-9.71,15.59
1.006,0.982,0.996,0.024,-0.014,-9.71,-3.39,-6.32
0.982,0.996,0.996,-0.014,0,-3.39,-9.2,5.81
0.996,0.996,0.97,0,0.026,-9.2,10.74,-19.94
0.996,0.97,0.986,0.026,-0.016,10.74,0.82,9.92
0.97,0.986,1.024,-0.016,-0.038,0.82,-11.24,12.06
0.986,1.024,1.047,-0.038,-0.023,-11.24,10.82,-22.06
1.024,1.047,1.052,-0.023,-0.005,10.82,-5.54,16.36
1.047,1.052,1.066,-0.005,-0.014,-5.54,-15.62,10.08
1.052,1.066,1.059,-0.014,0.007,-15.62,-4.02,-11.6
1.066,1.059,1.092,0.007,-0.033,-4.02,-5.52,1.5
1.059,1.092,1.07,-0.033,0.022,-5.52,2.99,-8.51
1.092,1.07,1.098,0.022,-0.028,2.99,-11.45,14.44
1.07,1.098,1.06,-0.028,0.038,-11.45,0.38,-11.83
1.098,1.06,1.067,0.038,-0.007,0.38,3.53,-3.15
1.06,1.067,1.131,-0.007,-0.064,3.53,6.97,-3.44
1.067,1.131,1.127,-0.064,0.004,6.97,-8.29,15.26
1.131,1.127,1.153,0.004,-0.026,-8.29,-13.95,5.66
1.127,1.153,1.107,-0.026,0.046,-13.95,2.91,-16.86
1.153,1.107,1.193,0.046,-0.086,2.91,-12.29,15.2
1.107,1.193,1.05,-0.086,0.143,-12.29,10.25,-22.54
1.193,1.05,1.03,0.143,0.02,10.25,-2.62,12.87
1.05,1.03,1.099,0.02,-0.069,-2.62,-0.11,-2.51
1.03,1.099,1.149,-0.069,-0.05,-0.11,-0.11,0
1.099,1.149,1.062,-0.05,0.087,-0.11,19.87,-19.98
1.149,1.062,1.086,0.087,-0.024,19.87,25.05,-5.18
1.062,1.086,1.082,-0.024,0.004,25.05,14.55,10.5
1.086,1.082,1.038,0.004,0.044,14.55,8.05,6.5
1.082,1.038,1.078,0.044,-0.04,8.05,-3.89,11.94
1.038,1.078,1.051,-0.04,0.027,-3.89,31.82,-35.71
1.078,1.051,1.029,0.027,0.022,31.82,16.1,15.72
1.051,1.029,1.11,0.022,-0.081,16.1,-11.58,27.68
1.029,1.11,1.128,-0.081,-0.018,-11.58,-9.26,-2.32
1.11,1.128,1.104,-0.018,0.024,-9.26,-9.71,0.45
1.128,1.104,1.194,0.024,-0.09,-9.71,-3.4,-6.31
1.104,1.194,1.135,-0.09,0.059,-3.4,25.97,-29.37
1.194,1.135,1.171,0.059,-0.036,25.97,6.93,19.04
