date,국고채 3년 수익률,국고채 1년 수익률,변동성 지수(VKOSPI),AAA,AA+,AA,AA-,A+,A,A-,AAA spread,AA+ spread,AA spread,AA- spread,A+ spread,A spread,A- spread,<- 3년 만기 무보증 사채 기준
2020-05-15,0.874,0.784,0.63,1.41,1.55,1.59,1.63,1.82,2.08,2.5,0.536,0.676,0.716,0.756,0.946,1.206,1.626,
2020-05-14,0.869,0.786,4.04,1.41,1.55,1.59,1.63,1.82,2.08,2.5,0.541,0.681,0.721,0.761,0.951,1.211,1.631,
2020-05-13,0.856,0.78,-7.34,1.4,1.54,1.58,1.62,1.81,2.07,2.49,0.544,0.684,0.724,0.764,0.954,1.214,1.634,
2020-05-12,0.886,0.799,-5.25,1.43,1.56,1.6,1.64,1.83,2.09,2.51,0.544,0.674,0.714,0.754,0.944,1.204,1.624,
2020-05-11,0.926,0.821,1.95,1.47,1.6,1.65,1.69,1.87,2.14,2.55,0.544,0.674,0.724,0.764,0.944,1.214,1.624,
2020-05-08,0.914,0.819,-8.11,1.45,1.58,1.63,1.67,1.85,2.12,2.53,0.536,0.666,0.716,0.756,0.936,1.206,1.616,
2020-05-07,0.946,0.834,-1.57,1.49,1.61,1.65,1.69,1.88,2.14,2.56,0.544,0.664,0.704,0.744,0.934,1.194,1.614,
2020-05-06,0.96,0.845,-12.51,1.52,1.63,1.67,1.71,1.9,2.16,2.58,0.56,0.67,0.71,0.75,0.94,1.2,1.62,
2020-05-04,0.975,0.856,19.17,1.53,1.64,1.69,1.72,1.91,2.17,2.59,0.555,0.665,0.715,0.745,0.935,1.195,1.615,
2020-04-29,1.006,0.872,-6.53,1.57,1.68,1.72,1.76,1.95,2.21,2.63,0.564,0.674,0.714,0.754,0.944,1.204,1.624,
2020-04-28,1.033,0.879,-7.14,1.59,1.7,1.74,1.78,1.97,2.23,2.65,0.557,0.667,0.707,0.747,0.937,1.197,1.617,
2020-04-27,1.026,0.878,-6.37,1.59,1.69,1.74,1.78,1.96,2.23,2.64,0.564,0.664,0.714,0.754,0.934,1.204,1.614,
2020-04-24,1.018,0.873,8.94,1.58,1.68,1.72,1.76,1.95,2.21,2.63,0.562,0.662,0.702,0.742,0.932,1.192,1.612,
