delta_v,delta_treasury(3Y)t,delta_treasury(3Y)t-1,delta_treasury(1Y)t,delta_treasury(1Y)t-1,deltaAAAt,deltaAAAt-1,deltaAAplt,deltaAAplt-1,deltaAAmit,deltaAAmit-1,deltaAplt,deltaAplt-1,deltaAt,deltaAt-1,deltaAmit,deltaAmit-1,deltaAAt,deltaAAt-1
0.00027,-0.02,0.001,-0.026,-0.005,0.02,-0.001,0.02,-0.001,0.02,-0.001,0.02,-0.001,0.02,-0.001,0.02,-0.001,0.02,-0.001
0.00028,0.031,-0.02,0,-0.026,-0.031,0.02,-0.031,0.02,-0.031,0.02,-0.031,0.02,-0.031,0.02,-0.031,0.02,-0.031,0.02
-9.00E-05,0.01,0.031,0.005,0,-0.01,-0.031,-0.01,-0.031,-0.01,-0.031,-0.01,-0.031,-0.01,-0.031,-0.01,-0.031,-0.01,-0.031
-0.00016,-0.026,0.01,-0.017,0.005,0.026,-0.01,0.026,-0.01,0.026,-0.01,0.026,-0.01,0.026,-0.01,0.026,-0.01,0.026,-0.01
-0.00019,-0.012,-0.026,-0.004,-0.017,0.012,0.026,0.012,0.026,0.012,0.026,0.012,0.026,0.012,0.026,0.012,0.026,0.012,0.026
-2.00E-05,0.004,-0.012,-0.011,-0.004,-0.004,0.012,-0.004,0.012,-0.004,0.012,-0.004,0.012,-0.004,0.012,-0.004,0.012,-0.004,0.012
-0.00048,0.04,0.004,-0.004,-0.011,-0.04,-0.004,-0.04,-0.004,-0.04,-0.004,-0.04,-0.004,-0.04,-0.004,-0.04,-0.004,-0.04,-0.004
1.00E-05,0.024,0.04,-0.005,-0.004,-0.174,-0.04,-0.174,-0.04,-0.174,-0.04,-0.174,-0.04,-0.174,-0.04,-0.174,-0.04,-0.174,-0.04
1.00E-05,-0.035,0.024,-0.012,-0.005,0.035,-0.174,0.035,-0.174,0.035,-0.174,0.035,-0.174,0.035,-0.174,0.035,-0.174,0.035,-0.174
-0.00066,0.002,-0.035,-0.007,-0.012,-0.002,0.035,-0.002,0.035,-0.002,0.035,-0.002,0.035,-0.002,0.035,-0.002,0.035,-0.002,0.035
0.00033,0.002,0.002,0.003,-0.007,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002
-5.00E-05,0.034,0.002,0.002,0.003,-0.034,-0.002,-0.034,-0.002,-0.034,-0.002,-0.034,-0.002,-0.034,-0.002,-0.034,-0.002,-0.034,-0.002
-0.00016,-0.022,0.034,0.001,0.002,0.022,-0.034,0.022,-0.034,0.022,-0.034,0.022,-0.034,0.022,-0.034,0.022,-0.034,0.022,-0.034
0,-0.008,-0.022,-0.009,0.001,0.008,0.022,0.008,0.022,0.008,0.022,0.008,0.022,0.008,0.022,0.008,0.022,0.008,0.022
-0.00076,0.017,-0.008,0.012,-0.009,-0.017,0.008,-0.017,0.008,-0.017,0.008,-0.017,0.008,-0.017,0.008,-0.017,0.008,-0.017,0.008
0.00076,0.008,0.017,0.003,0.012,-0.008,-0.017,-0.008,-0.017,-0.008,-0.017,-0.008,-0.017,-0.008,-0.017,-0.008,-0.017,-0.008,-0.017
-0.00061,0.011,0.008,0.004,0.003,-0.011,-0.008,-0.011,-0.008,-0.011,-0.008,-0.011,-0.008,-0.011,-0.008,-0.011,-0.008,-0.011,-0.008
-8.00E-05,0.008,0.011,0,0.004,-0.008,-0.011,-0.008,-0.011,-0.008,-0.011,-0.008,-0.011,-0.008,-0.011,-0.008,-0.011,-0.008,-0.011
-0.00022,0.004,0.008,0,0,-0.004,-0.008,-0.004,-0.008,-0.004,-0.008,-0.004,-0.008,-0.004,-0.008,-0.004,-0.008,-0.004,-0.008
0.00065,-0.025,0.004,-0.013,0,0.025,-0.004,0.025,-0.004,0.025,-0.004,0.025,-0.004,0.025,-0.004,0.025,-0.004,0.025,-0.004
-0.00015,0,-0.025,0.001,-0.013,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025
0.00053,0.012,0,0.004,0.001,-0.012,0,-0.012,0,-0.012,0,-0.012,0,-0.012,0,-0.012,0,-0.012,0
-0.00035,0.023,0.012,0.005,0.004,-0.023,-0.012,-0.023,-0.012,-0.023,-0.012,-0.023,-0.012,-0.023,-0.012,-0.023,-0.012,-0.023,-0.012
