AAA(t),AAA(t-1),AAA(t-2),deltaAAA(t),deltaAAA(t-1),AAp(t),AAp(t-1),AAp(t-2),deltaAAp(t),deltaAAp(t-1),AA(t),AA(t-1),AA(t-2),deltaAA(t),deltaAA(t-1),AAm(t),AAm(t-1),AAm(t-2),deltaAAm(t),deltaAAm(t-1),Ap(t),Ap(t-1),Ap(t-2),deltaAp(t),deltaAp(t-1),A(t),A(t-1),A(t-2),deltaA(t),deltaA(t-1),Am(t),Am(t-1),Am(t-2),deltaAm(t),deltaAm(t-1),volatility_t,volatility_t-1,delta_v
0.536,0.541,0.544,-0.005,-0.003,0.676,0.681,0.684,-0.005,-0.003,0.716,0.721,0.724,-0.005,-0.003,0.756,0.761,0.764,-0.005,-0.003,0.946,0.951,0.954,-0.005,-0.003,1.206,1.211,1.214,-0.005,-0.003,1.626,1.631,1.634,-0.005,-0.003,0.63,4.04,-3.41
0.541,0.544,0.544,-0.003,0,0.681,0.684,0.674,-0.003,0.01,0.721,0.724,0.714,-0.003,0.01,0.761,0.764,0.754,-0.003,0.01,0.951,0.954,0.944,-0.003,0.01,1.211,1.214,1.204,-0.003,0.01,1.631,1.634,1.624,-0.003,0.01,4.04,-7.34,11.38
0.544,0.544,0.544,0,0,0.684,0.674,0.674,0.01,0,0.724,0.714,0.724,0.01,-0.01,0.764,0.754,0.764,0.01,-0.01,0.954,0.944,0.944,0.01,0,1.214,1.204,1.214,0.01,-0.01,1.634,1.624,1.624,0.01,0,-7.34,-5.25,-2.09
0.544,0.544,0.536,0,0.008,0.674,0.674,0.666,0,0.008,0.714,0.724,0.716,-0.01,0.008,0.754,0.764,0.756,-0.01,0.008,0.944,0.944,0.936,0,0.008,1.204,1.214,1.206,-0.01,0.008,1.624,1.624,1.616,0,0.008,-5.25,1.95,-7.2
0.544,0.536,0.544,0.008,-0.008,0.674,0.666,0.664,0.008,0.002,0.724,0.716,0.704,0.008,0.012,0.764,0.756,0.744,0.008,0.012,0.944,0.936,0.934,0.008,0.002,1.214,1.206,1.194,0.008,0.012,1.624,1.616,1.614,0.008,0.002,1.95,-8.11,10.06
0.536,0.544,0.56,-0.008,-0.016,0.666,0.664,0.67,0.002,-0.006,0.716,0.704,0.71,0.012,-0.006,0.756,0.744,0.75,0.012,-0.006,0.936,0.934,0.94,0.002,-0.006,1.206,1.194,1.2,0.012,-0.006,1.616,1.614,1.62,0.002,-0.006,-8.11,-1.57,-6.54
0.544,0.56,0.555,-0.016,0.005,0.664,0.67,0.665,-0.006,0.005,0.704,0.71,0.715,-0.006,-0.005,0.744,0.75,0.745,-0.006,0.005,0.934,0.94,0.935,-0.006,0.005,1.194,1.2,1.195,-0.006,0.005,1.614,1.62,1.615,-0.006,0.005,-1.57,-12.51,10.94
0.56,0.555,0.564,0.005,-0.009,0.67,0.665,0.674,0.005,-0.009,0.71,0.715,0.714,-0.005,0.001,0.75,0.745,0.754,0.005,-0.009,0.94,0.935,0.944,0.005,-0.009,1.2,1.195,1.204,0.005,-0.009,1.62,1.615,1.624,0.005,-0.009,-12.51,19.17,-31.68
0.555,0.564,0.557,-0.009,0.007,0.665,0.674,0.667,-0.009,0.007,0.715,0.714,0.707,0.001,0.007,0.745,0.754,0.747,-0.009,0.007,0.935,0.944,0.937,-0.009,0.007,1.195,1.204,1.197,-0.009,0.007,1.615,1.624,1.617,-0.009,0.007,19.17,-6.53,25.7
0.564,0.557,0.564,0.007,-0.007,0.674,0.667,0.664,0.007,0.003,0.714,0.707,0.714,0.007,-0.007,0.754,0.747,0.754,0.007,-0.007,0.944,0.937,0.934,0.007,0.003,1.204,1.197,1.204,0.007,-0.007,1.624,1.617,1.614,0.007,0.003,-6.53,-7.14,0.61
