AAAt,AAAt-1,delta_AAA,AA+t,AA+t-1,delta_AA+,AAt,AAt-1,delta_AA,AA-t,AA-t-1,delta_AA-,A+t,A+t-1,delta_A+,At,At-1,delta_A,A-t,A-t-1,delta_A-,volatility_t,volatility_t-1,delta_v
0.536,0.541,-0.005,0.676,0.681,-0.005,0.716,0.721,-0.005,0.756,0.761,-0.005,0.946,0.951,-0.005,1.206,1.211,-0.005,1.626,1.631,-0.005,0.63,4.04,-3.41
0.541,0.544,-0.003,0.681,0.684,-0.003,0.721,0.724,-0.003,0.761,0.764,-0.003,0.951,0.954,-0.003,1.211,1.214,-0.003,1.631,1.634,-0.003,4.04,-7.34,11.38
0.544,0.544,0,0.684,0.674,0.01,0.724,0.714,0.01,0.764,0.754,0.01,0.954,0.944,0.01,1.214,1.204,0.01,1.634,1.624,0.01,-7.34,-5.25,-2.09
0.544,0.544,0,0.674,0.674,0,0.714,0.724,-0.01,0.754,0.764,-0.01,0.944,0.944,0,1.204,1.214,-0.01,1.624,1.624,0,-5.25,1.95,-7.2
0.544,0.536,0.008,0.674,0.666,0.008,0.724,0.716,0.008,0.764,0.756,0.008,0.944,0.936,0.008,1.214,1.206,0.008,1.624,1.616,0.008,1.95,-8.11,10.06
0.536,0.544,-0.008,0.666,0.664,0.002,0.716,0.704,0.012,0.756,0.744,0.012,0.936,0.934,0.002,1.206,1.194,0.012,1.616,1.614,0.002,-8.11,-1.57,-6.54
0.544,0.56,-0.016,0.664,0.67,-0.006,0.704,0.71,-0.006,0.744,0.75,-0.006,0.934,0.94,-0.006,1.194,1.2,-0.006,1.614,1.62,-0.006,-1.57,-12.51,10.94
0.56,0.555,0.005,0.67,0.665,0.005,0.71,0.715,-0.005,0.75,0.745,0.005,0.94,0.935,0.005,1.2,1.195,0.005,1.62,1.615,0.005,-12.51,19.17,-31.68
0.555,0.564,-0.009,0.665,0.674,-0.009,0.715,0.714,0.001,0.745,0.754,-0.009,0.935,0.944,-0.009,1.195,1.204,-0.009,1.615,1.624,-0.009,19.17,-6.53,25.7
0.564,0.557,0.007,0.674,0.667,0.007,0.714,0.707,0.007,0.754,0.747,0.007,0.944,0.937,0.007,1.204,1.197,0.007,1.624,1.617,0.007,-6.53,-7.14,0.61
0.557,0.564,-0.007,0.667,0.664,0.003,0.707,0.714,-0.007,0.747,0.754,-0.007,0.937,0.934,0.003,1.197,1.204,-0.007,1.617,1.614,0.003,-7.14,-6.37,-0.77
0.564,0.562,0.002,0.664,0.662,0.002,0.714,0.702,0.012,0.754,0.742,0.012,0.934,0.932,0.002,1.204,1.192,0.012,1.614,1.612,0.002,-6.37,8.94,-15.31
0.562,0.564,-0.002,0.662,0.664,-0.002,0.702,0.704,-0.002,0.742,0.744,-0.002,0.932,0.934,-0.002,1.192,1.194,-0.002,1.612,1.614,-0.002,8.94,-5.72,14.66
