일자,"국고채권
(1년)","국고채권
(3년)"
최고,1.932,2.316
최저,0.772,0.856
2020-05-20,0.772,0.868
2020-05-19,0.781,0.876
2020-05-18,0.783,0.887
2020-05-15,0.784,0.874
2020-05-14,0.786,0.869
2020-05-13,0.78,0.856
2020-05-12,0.799,0.886
2020-05-11,0.821,0.926
2020-05-08,0.819,0.914
2020-05-07,0.834,0.946
2020-05-06,0.845,0.96
2020-05-04,0.856,0.975
2020-04-29,0.872,1.006
2020-04-28,0.879,1.033
2020-04-27,0.878,1.026
2020-04-24,0.873,1.018
2020-04-23,0.884,1.036
2020-04-22,0.893,1.046
2020-04-21,0.886,1.035
2020-04-20,0.876,1.013
2020-04-17,0.879,1.006
2020-04-16,0.868,0.982
2020-04-14,0.871,0.996
2020-04-13,0.867,0.996
2020-04-10,0.856,0.97
2020-04-09,0.862,0.986
2020-04-08,0.891,1.024
2020-04-07,0.911,1.047
2020-04-06,0.928,1.052
2020-04-03,0.95,1.066
2020-04-02,0.959,1.059
2020-04-01,0.984,1.092
2020-03-31,0.989,1.07
2020-03-30,1.005,1.098
2020-03-27,0.993,1.06
2020-03-26,0.995,1.067
2020-03-25,1.013,1.131
2020-03-24,1.015,1.127
2020-03-23,1.041,1.153
2020-03-20,1.019,1.107
2020-03-19,1.066,1.193
2020-03-18,0.982,1.05
2020-03-17,0.981,1.03
2020-03-16,1.02,1.099
2020-03-13,1.073,1.149
2020-03-12,1.022,1.062
2020-03-11,1.032,1.086
2020-03-10,1.033,1.082
2020-03-09,1.014,1.038
2020-03-06,1.051,1.078
2020-03-05,1.046,1.051
2020-03-04,1.038,1.029
2020-03-03,1.117,1.11
2020-03-02,1.121,1.128
2020-02-28,1.113,1.104
2020-02-27,1.154,1.194
2020-02-26,1.119,1.135
2020-02-25,1.139,1.171
2020-02-24,1.129,1.139
2020-02-21,1.168,1.182
2020-02-20,1.209,1.234
2020-02-19,1.237,1.284
2020-02-18,1.237,1.271
2020-02-17,1.264,1.32
2020-02-14,1.268,1.33
2020-02-13,1.235,1.275
2020-02-12,1.242,1.297
2020-02-11,1.241,1.299
2020-02-10,1.242,1.296
2020-02-07,1.238,1.28
2020-02-06,1.257,1.311
2020-02-05,1.259,1.307
2020-02-04,1.272,1.331
2020-02-03,1.256,1.291
2020-01-31,1.264,1.303
2020-01-30,1.265,1.301
2020-01-29,1.286,1.33
2020-01-28,1.295,1.352
2020-01-23,1.338,1.424
2020-01-22,1.345,1.437
2020-01-21,1.33,1.395
2020-01-20,1.355,1.455
2020-01-17,1.341,1.433
2020-01-16,1.333,1.426
2020-01-15,1.32,1.391
2020-01-14,1.317,1.386
2020-01-13,1.328,1.418
2020-01-10,1.33,1.425
2020-01-09,1.326,1.416
2020-01-08,1.319,1.363
2020-01-07,1.312,1.331
2020-01-06,1.295,1.277
2020-01-03,1.299,1.27
2020-01-02,1.319,1.327
2019-12-31,1.335,1.36
2019-12-30,1.335,1.36
2019-12-27,1.337,1.37
2019-12-26,1.336,1.367
2019-12-24,1.339,1.37
2019-12-23,1.342,1.38
2019-12-20,1.349,1.392
2019-12-19,1.347,1.383
2019-12-18,1.336,1.357
2019-12-17,1.34,1.363
2019-12-16,1.341,1.369
2019-12-13,1.352,1.402
2019-12-12,1.343,1.382
2019-12-11,1.345,1.381
2019-12-10,1.351,1.39
2019-12-09,1.363,1.412
2019-12-06,1.371,1.43
2019-12-05,1.37,1.423
2019-12-04,1.36,1.406
2019-12-03,1.382,1.46
2019-12-02,1.376,1.425
2019-11-29,1.365,1.385
2019-11-28,1.382,1.43
2019-11-27,1.39,1.456
2019-11-26,1.399,1.475
2019-11-25,1.401,1.475
2019-11-22,1.391,1.456
2019-11-21,1.39,1.462
2019-11-20,1.38,1.45
2019-11-19,1.399,1.485
2019-11-18,1.405,1.518
2019-11-15,1.395,1.513
2019-11-14,1.392,1.515
2019-11-13,1.388,1.51
2019-11-12,1.394,1.564
2019-11-11,1.372,1.5
2019-11-08,1.374,1.518
2019-11-07,1.38,1.541
2019-11-06,1.377,1.53
2019-11-05,1.371,1.522
2019-11-04,1.387,1.55
2019-11-01,1.364,1.467
2019-10-31,1.359,1.466
2019-10-30,1.359,1.481
2019-10-29,1.36,1.499
2019-10-28,1.369,1.523
2019-10-25,1.334,1.435
2019-10-24,1.311,1.396
2019-10-23,1.299,1.388
2019-10-22,1.293,1.379
2019-10-21,1.3,1.408
2019-10-18,1.283,1.375
2019-10-17,1.285,1.375
2019-10-16,1.276,1.32
2019-10-15,1.272,1.281
2019-10-14,1.273,1.281
2019-10-11,1.272,1.281
2019-10-10,1.271,1.276
2019-10-08,1.267,1.264
2019-10-07,1.259,1.232
2019-10-04,1.243,1.21
2019-10-02,1.283,1.303
2019-10-01,1.287,1.323
2019-09-30,1.275,1.297
2019-09-27,1.273,1.301
2019-09-26,1.272,1.301
2019-09-25,1.272,1.304
2019-09-24,1.277,1.325
2019-09-23,1.277,1.331
2019-09-20,1.269,1.332
2019-09-19,1.269,1.329
2019-09-18,1.254,1.309
2019-09-17,1.251,1.315
2019-09-16,1.27,1.348
