volatility(t),volatility(t-1),treasury3(t),treausry3(t-1),treasury3(t-2),treasury1(t),treasury1(t-1),treasury(t-2),AAA(t),AAA(t-1),AAA(t-2),AAp(t),AAp(t-1),AAp(t-2),AA(t),AA(t-1),AA(t-2),AAm(t),AAm(t-1),AAm(t-2),Ap(t),Ap(t-1),Ap(t-2),A(t),A(t-1),A(t-2),Am(t),Am(t-1),Am(t-2),delta_v,delta_trea3(t),delta_trea3(t-1),delta_trea1(t),delta_trea1(t-1),delta_AAA(t),delta_AAA(t-1),deltaAAp(t),deltaAAp(t-1),deltaAA(t),deltaAA(t-1),deltaAAm(t),deltaAAm(t-1),deltaAp(t),deltaAp(t-1),deltaA(t),deltaA(t-1),deltaAm(t),deltaAm(t-1),Anothervolatility(t),Anothervolatility(t-1),delta_Av
0.14903,0.14923,1.171,1.18,1.167,1.099,1.12,1.116,1.526,1.518,1.528,1.56,1.552,1.562,1.597,1.589,1.599,1.625,1.617,1.627,1.791,1.783,1.793,2.054,2.046,2.056,2.47,2.462,2.472,-0.0002,-0.009,0.013,-0.021,0.004,0.008,-0.01,0.008,-0.01,0.008,-0.01,0.008,-0.01,0.008,-0.01,0.008,-0.01,0.008,-0.01,2.35,2.54,-0.19
0.1496,0.14903,1.18,1.167,1.168,1.12,1.116,1.114,1.518,1.528,1.558,1.552,1.562,1.592,1.589,1.599,1.629,1.617,1.627,1.657,1.783,1.793,1.823,2.046,2.056,2.086,2.462,2.472,2.502,0.00057,0.013,-0.001,0.004,0.002,-0.01,-0.03,-0.01,-0.03,-0.01,-0.03,-0.01,-0.03,-0.01,-0.03,-0.01,-0.03,-0.01,-0.03,-3.39,2.35,-5.74
0.14948,0.1496,1.167,1.168,1.233,1.116,1.114,1.14,1.528,1.558,1.581,1.562,1.592,1.615,1.599,1.629,1.652,1.627,1.657,1.68,1.793,1.823,1.846,2.056,2.086,2.109,2.472,2.502,2.525,-0.00012,-0.001,-0.065,0.002,-0.026,-0.03,-0.023,-0.03,-0.023,-0.03,-0.023,-0.03,-0.023,-0.03,-0.023,-0.03,-0.023,-0.03,-0.023,-5.64,-3.39,-2.25
0.14954,0.14948,1.168,1.233,1.228,1.114,1.14,1.154,1.558,1.581,1.551,1.592,1.615,1.58,1.629,1.652,1.617,1.657,1.68,1.645,1.823,1.846,1.811,2.086,2.109,2.074,2.502,2.525,2.49,6.00E-05,-0.065,0.005,-0.026,-0.014,-0.023,0.03,-0.023,0.035,-0.023,0.035,-0.023,0.035,-0.023,0.035,-0.023,0.035,-0.023,0.035,-3.52,-5.64,2.12
0.14954,0.14954,1.233,1.228,1.241,1.14,1.154,1.151,1.581,1.551,1.556,1.615,1.58,1.585,1.652,1.617,1.622,1.68,1.645,1.65,1.846,1.811,1.816,2.109,2.074,2.079,2.525,2.49,2.495,0,0.005,-0.013,-0.014,0.003,0.03,-0.005,0.035,-0.005,0.035,-0.005,0.035,-0.005,0.035,-0.005,0.035,-0.005,0.035,-0.005,-1.17,-3.52,2.35
0.14954,0.14954,1.228,1.241,1.259,1.154,1.151,1.173,1.551,1.556,1.586,1.58,1.585,1.62,1.617,1.622,1.657,1.645,1.65,1.685,1.811,1.816,1.846,2.074,2.079,2.109,2.49,2.495,2.525,0,-0.013,-0.018,0.003,-0.022,-0.005,-0.03,-0.005,-0.035,-0.005,-0.035,-0.005,-0.035,-0.005,-0.03,-0.005,-0.03,-0.005,-0.03,0.52,-1.17,1.69
0.14966,0.14954,1.241,1.259,1.265,1.151,1.173,1.178,1.556,1.586,1.666,1.585,1.62,1.7,1.622,1.657,1.737,1.65,1.685,1.765,1.816,1.846,1.926,2.079,2.109,2.189,2.495,2.525,2.605,0.00012,-0.018,-0.006,-0.022,-0.005,-0.03,-0.08,-0.035,-0.08,-0.035,-0.08,-0.035,-0.08,-0.03,-0.08,-0.03,-0.08,-0.03,-0.08,6.74,0.52,6.22
0.14972,0.14966,1.259,1.265,1.235,1.173,1.178,1.169,1.586,1.666,1.641,1.62,1.7,1.675,1.657,1.737,1.712,1.685,1.765,1.74,1.846,1.926,1.901,2.109,2.189,2.164,2.525,2.605,2.58,6.00E-05,-0.006,0.03,-0.005,0.009,-0.08,0.025,-0.08,0.025,-0.08,0.025,-0.08,0.025,-0.08,0.025,-0.08,0.025,-0.08,0.025,1.53,6.74,-5.21
0.14989,0.14972,1.265,1.235,1.242,1.178,1.169,1.186,1.666,1.641,1.633,1.7,1.675,1.667,1.737,1.712,1.704,1.765,1.74,1.732,1.926,1.901,1.893,2.189,2.164,2.156,2.605,2.58,2.572,0.00017,0.03,-0.007,0.009,-0.017,0.025,0.008,0.025,0.008,0.025,0.008,0.025,0.008,0.025,0.008,0.025,0.008,0.025,0.008,0.89,1.53,-0.64
0.14989,0.14989,1.235,1.242,1.258,1.169,1.186,1.202,1.641,1.633,1.656,1.675,1.667,1.69,1.712,1.704,1.727,1.74,1.732,1.755,1.901,1.893,1.916,2.164,2.156,2.179,2.58,2.572,2.595,0,-0.007,-0.016,-0.017,-0.016,0.008,-0.023,0.008,-0.023,0.008,-0.023,0.008,-0.023,0.008,-0.023,0.008,-0.023,0.008,-0.023,-3.39,0.89,-4.28
