Name,Address,Phone_No,Phone_No_2,Opening_Hours,Facilities,Disability_Access,Parking,Latitude,Longitude,On-premise disability parking 
Acacia Ridge Leisure Centre,"1391 Beaudesert Road, Acacia Ridge",3277 8686,,"SUMMER HOURS 
Monday to Thursday: 6am - 7pm
Friday: 6am-6pm
Saturday: 8am-6pm
Sunday: 8am-6pm
Public holidays: 12pm-5pm. Closed Christmas Day, Good Friday.

Outdoor Lagoon Pool
Saturday and Sunday:  11am-5pm
School Holidays: 11am-5pm daily ","Aqua aerobics, Disabled Access/Facilities, Heated Pool, Indoor pool, Outdoor pool, Lifeguards, Open in winter, Squad Swimming, Swimming lessons, Water play",Yes,Free Car parking: 120 spaces; Public transport: Bus,-27.58616,153.026354,Yes
Bellbowrie Pool,"47 Birkin Road, Bellbowrie",3432 9172,,"SUMMER HOURS 
Monday to Thursday: 5.30am-7pm

Friday: 5.30am-6pm
Saturday & Sunday 8am-6pm
Public holidays: 9am-5pm. Closed Christmas Day, Good Friday,Anzac Day
Seasonal Pool - Closed for Winter Note: 50m POOL CLOSED DUE TO UPGRADE, DUE TO  OPEN MID  OCTOBER 2019","Disabled Access/Facilities,  Heated Programs Pool, Lifeguards, Outdoor pool, Squad Swimming, Stroke Development, Swimming lessons,Aqua aerobics, Wading pool, Water play, Cafe",Yes,Free Car Parking ; Public transport: Buses,-27.565466,152.891082,Yes
Carole Park Swim Centre,Cnr Boundary Road and Waterford Road Wacol,3271 6116,,"SUMMER HOURS
Monday to Friday: 5.30am-7.30am and 10am-6pm
Saturday: 8am-4pm
Sunday: 10am-4pm
Public Holidays:10am - 4pm
Closed: Christmas Day & Good Friday
Seasonal Pool -Closed for Winter: contact pool directly for dates","Aqua-aerobics, Heated pool, Kiosk, Lifeguards, Outdoor pool, Swimming lessons, Wading pool, Water play",No,Free Car parking; Public transport: Bus & train,-27.607439,152.931511,Yes
Centenary Pool (Spring Hill),"400 Gregory Terrace, Spring Hill",3054 4331,,"NORMAL HOURS 
Pool and health club hours (excluding dive pool) 
Monday - Thursday: 5am-8pm
Friday: 5am-6pm
Saturday to Sunday: 7am-6pm
Public holidays : 9am-5pm.Anzac day 9am - 1pm Closed Christmas Day and Good Friday.

Dive pool (opening hours for public use)
Monday-Friday: closed
Saturday & Sunday:1pm - 3pm
Public holidays: closed","Aqua aerobics, Diving, Gym, Heated pool, Kiosk, Open in winter, Outdoor pool, Squad Swimming, Stroke Development, Swim Fit, Swimming lessons, Wading pool, cafe, water polo",Yes,Car parking available; Public Transport,-27.455369,153.025067,Yes
Chermside Pool,"375 Hamilton Road, Chermside",3054 4305,,"SUMMER HOURS 
Monday to Thursday: 5am-8pm
Friday: 5am-7pm
Saturday and Sunday: 7am-6pm
Public holidays: 8am-6pm. Closed Christmas Day, Good Friday.
Waterpark open in Summer only","Aqua aerobics, Disabled Access/Facilities, Heated pool, Indoor Pool, Kiosk, Leisure Centre/Water Park, Lifeguards, Open in winter, Outdoor pool, Squad Swimming, Stroke Development, Swimming lessons, Water play",Yes,Car park available; Public transport: Bus,-27.385829,153.035109,Yes
Colmslie Pool (Morningside),"400 Lytton Road, Morningside",3054 4366,,"This pool is open all year round, except for the Kids Fun Pool pool which is only open during summer (September - April).

VENUE HOURS
Monday - Thursday: 5:30am-8pm
Friday: 5:30am-6pm
Saturday:7.30am - 6pm  Sunday: 8am-6pm
Public holidays: 9am-5pm. Anzac Day 9am - 1pm.Closed Christmas Day and Good Friday.","Aqua aerobics, Disabled Access/Facilities, Heated pool, Indoor Pool, Kiosk, Lifeguards, Open in winter, Outdoor pool, Swimming lessons, Wading pool, Water play",Yes,Car park available,-27.45516,153.078861,Yes
Dunlop Park Memorial Pool,"794 Oxley Road, Corinda",3379 1630,,"WINTER HOURS 
Monday to Thursday: 5.30am-7.30pm
Friday: 5.30am-6pm
Saturday: 6am-1pm
Sunday: 8-1pm
Public holidays: 9am - 1pm
Closed in winter: Wading pool

SUMMER HOURS 
Monday to Thursday: 5am-7.30pm
Friday: 5am-7pm
Saturday: 6am-6pm
Sunday: 8-6pm
Public holidays: 9am-5pm. Closed: Christmas Day and Good Friday","Aqua-aerobics, Barbeques, Disabled Access/Facilities, Heated pool, Indoor Pool, Kiosk, Leisure Centre/Water Park, Lifeguards, Open in winter, Outdoor pool, Squad Swimming, Stroke Development, Swimming lessons, Wading pool, Water play",Yes,Street Parking; Public transport,-27.546519,152.980628,No
The Emily Seebohm Aquatic Centre - Fitzgibbon,"523 Telegraph Road, Fitzgibbon",3269 8906,,"SUMMER HOURS 
Monday to Friday: 5.30am-7pm
Saturday: 6am-6pm
Sunday: 8am-6pm
Public holidays: 9am-5pm. Closed Christmas Day, Good Friday and Anzac Day)

WINTER HOURS 
Monday to Friday: 5.30am-7pm
Saturday: 6am-4pm
Sunday: 8am-4pm
Public holidays: closed","Aqua aerobics, Barbeques, Disabled Access/Facilities, Heated pool, Indoor Pool, Kiosk, Leisure Centre/Water Park, Lifeguards, Open in winter, Outdoor pool, Squad Swimming, Swimming lessons",Yes,Shared on-site parking,-27.331987,153.042374,Yes
Hibiscus Sports Complex (upper Mt Gravatt),"90 Klumpp Road, Upper Mount Gravatt",3054 4374,,"SUMMER HOURS 
Monday to Thursday: 5.30am-7pm
Friday: 5.30am-6pm
Saturday: 7am-6pm
Sunday: 8am-6pm
Public holidays: 9am-5pm Anzac Day 1pm - 5pm
Closed Christmas Day, Good Friday

Learn to Swim: Monday to Friday 8.30am-11am and 3.30-6pm Saturday:7am-12pm (all year round)","2 x Heated indoor Pools, Kiosk, Lifeguards, Open in winter, Outdoor heated 50m pool, Squad Swimming, Swimming lessons, Wading pool, Water play",Yes,Car parks available; Public transport: Bus,-27.551826,153.07354,Yes
Ithaca Pool (Paddington),"131 Caxton Street, Paddington (entry via Chrystal Street)",3369 2624,,"SUMMER HOURS 
Monday to Friday: 5.30am-7pm
Saturday and Sunday: 8am - 6pm                                     
Public holidays: 9am-5pm
Closed Christmas Day, Good Friday and Anzac Day
(Shoulder season hours vary. Please see reception for more details).

This pool is a seasonal pool and is closed during winter. ","Aqua aerobics, Barbeques, Disabled Access/Facilities, Heated pool, Kiosk, Outdoor pool, Squad Swimming, Swimming lessons, Wading pool",Yes,"Car parks available: Dowse St (off road) Caxton St (9am - 4pm) 2 hour limit. On street parking (2 hour limit) is available on Caroline, Chrystal and Moreton Streets (parking limits apply).",-27.462262,153.010347,No
Jindalee Pool,"11 Yallambee Road, Jindalee",3376 1002,,"SUMMER HOURS 
Monday to Thursday: 5.30am-7.30pm
Friday: 5.30am-7pm
Saturday: 6am-6pm
Sunday: 8am-6pm
Public holidays: 9am-5pm
Closed Christmas Day and Good Friday

WINTER HOURS (restricted times) Contact pool for available hours of operation.","Aqua aerobics, Heated pool, Indoor Pool, Kiosk, Lifeguards, Open in winter, Outdoor pool, Squad Swimming, Stroke Development, Swim Fit, Swimming lessons, Water play",Yes,Street Parking; Public transport,-27.532363,152.942691,No
Langlands Park Memorial Pool (Stones Corner),"5 Panitya Street, Stones Corner",3397 7436,,"SUMMER HOURS 
Monday to Thursday: 5am-7pm
Friday: 5am-6pm
Saturday: 5am-6pm
Sunday: 8am-6pm
Public holidays: 9am-5pm
Closed Christmas Day and Good Friday

WINTER HOURS 
Monday to Thursday: 5am-7pm
Friday: 5am-6pm
Saturday: 5am-12pm
Sunday: 8am-12pm
Public holidays: Closed","Heated pool, Kiosk, Lifeguards, Open in winter, Outdoor pool, Stroke Development, Wading pool, Water play",Yes,"On site and  Street Parking; Public transport:Bus",-27.497689,153.04867,Yes
